club,season,league,league_apps,league_goals,copa_del_rey_apps,copa_del_rey_goals,champions_league_apps,champions_league_goals,other_apps,other_goals,total_apps.x,total_goals.x,year,team,competitive_apps,competitive_goals,friendly_apps,friendly_goals,total_apps.y,total_goals.y
Barcelona C,2003–04,Tercera División,10,5,NA,NA,NA,NA,NA,NA,10,5,2003,NA,NA,NA,NA,NA,NA,NA
Barcelona B,2003–04,Segunda División B,5,0,NA,NA,NA,NA,NA,NA,5,0,2003,NA,NA,NA,NA,NA,NA,NA
Barcelona B,2004–05,Segunda División B,17,6,NA,NA,NA,NA,NA,NA,17,6,2004,Argentina U20,NA,NA,2,3,2,3
Barcelona,2004–05,La Liga,7,1,1,0,1,0,NA,NA,9,1,2004,Argentina U20,NA,NA,2,3,2,3
Barcelona,2005–06,La Liga,17,6,2,1,6,1,0,0,25,8,2005,Argentina U20,16,11,NA,NA,16,11
Barcelona,2005–06,La Liga,17,6,2,1,6,1,0,0,25,8,2005,Argentina,3,0,2,0,5,0
Barcelona,2006–07,La Liga,26,14,2,2,5,1,3,0,36,17,2006,Argentina,3,1,4,1,7,2
Barcelona,2007–08,La Liga,28,10,3,0,9,6,NA,NA,40,16,2007,Argentina,10,4,4,2,14,6
Barcelona,2008–09,La Liga,31,23,8,6,12,9,NA,NA,51,38,2008,Argentina U23,5,2,NA,NA,5,2
Barcelona,2008–09,La Liga,31,23,8,6,12,9,NA,NA,51,38,2008,Argentina,6,1,2,1,8,2
Barcelona,2009–10,La Liga,35,34,3,1,11,8,4,4,53,47,2009,Argentina,8,1,2,2,10,3
Barcelona,2010–11,La Liga,33,31,7,7,13,12,2,3,55,53,2010,Argentina,5,0,5,2,10,2
Barcelona,2011–12,La Liga,37,50,7,3,11,14,5,6,60,73,2011,Argentina,8,2,5,2,13,4
Barcelona,2012–13,La Liga,32,46,5,4,11,8,2,2,50,60,2012,Argentina,5,5,4,7,9,12
Barcelona,2013–14,La Liga,31,28,6,5,7,8,2,0,46,41,2013,Argentina,5,3,2,3,7,6
Barcelona,2014–15,La Liga,38,43,6,5,13,10,NA,NA,57,58,2014,Argentina,7,4,7,4,14,8
Barcelona,2015–16,La Liga,33,26,5,5,7,6,4,4,49,41,2015,Argentina,6,1,2,3,8,4
Barcelona,2016–17,La Liga,34,37,7,5,9,11,2,1,52,54,2016,Argentina,10,8,1,0,11,8
Barcelona,2017–18,La Liga,36,34,6,4,10,6,2,1,54,45,2017,Argentina,5,4,2,0,7,4
Barcelona,2018–19,La Liga,34,36,5,3,10,12,1,0,50,51,2018,Argentina,4,1,1,3,5,4
Barcelona,2019–20,La Liga,33,25,2,2,8,3,1,1,44,31,2019,Argentina,6,1,4,4,10,5
Barcelona,2020–21,La Liga,35,30,5,3,6,5,1,0,47,38,2020,Argentina,4,1,0,0,4,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,Argentina,9,5,0,0,9,5
